"","Sample_names","Tree_name","Sample_id","Hauteur","Neg_Control","Numéro.photo","Category","Id_terrain","Id_echantillons","date_releve_diam","Diametre","Remarque","Time","Time_fac"
"A10-005-B_S188_MERGED.fastq.gz","A10-005-B_S188","A10-005",188,"B",FALSE,"68","Chandelier T+15","A10-005","A10-005","30/05/2007","52","",15,"15"
"A10-005-H_S189_MERGED.fastq.gz","A10-005-H_S189","A10-005",189,"H",FALSE,"68","Chandelier T+15","A10-005","A10-005","30/05/2007","52","",15,"15"
"A10-005-M_S190_MERGED.fastq.gz","A10-005-M_S190","A10-005",190,"M",FALSE,"68","Chandelier T+15","A10-005","A10-005","30/05/2007","52","",15,"15"
"A12-007_S191_MERGED.fastq.gz","A12-007_S191","A12-007",191,NA,FALSE,"67","Stressés","A12-007","A12-007","19/06/2012","28,4","",0,"0"
"A12-007-B_S2_MERGED.fastq.gz","A12-007-B_S2","A12-007",2,"B",FALSE,"67","Stressés","A12-007","A12-007","19/06/2012","28,4","",0,"0"
"A15-004_S3_MERGED.fastq.gz","A15-004_S3","A15-004",3,NA,FALSE,"82","Sains","A15-004","A15-004","19/06/2012","30,7","",0,"0"
"A8-005_S4_MERGED.fastq.gz","A8-005_S4","A8-005",4,NA,FALSE,"70","Stressés","A8-005","A8-005","19/06/2012","32,8","",0,"0"
"A9-012_S5_MERGED.fastq.gz","A9-012_S5","A9-012",5,NA,FALSE,"69","Stressés","A9-012","A9-012","19/06/2012","33,3","",0,"0"
"AB29-ABMX-H_S6_MERGED.fastq.gz","AB29-ABMX-H_S6","AB29-abm-X",6,"H",FALSE,"129","Chablis T+5","AC30-abm508","AB29-abm-X","14/05/2014","99","",5,"5"
"AC27-013_S7_MERGED.fastq.gz","AC27-013_S7","AC27-013",7,NA,FALSE,"11","Chandelier T+15","AC27-013","AC27-013","18/10/2016","32","",15,"15"
"AC29033_S8_MERGED.fastq.gz","AC29033_S8","AC29-033",8,NA,FALSE,"12","Chandelier T+15","AC29-033","AC29-033","18/10/2016","55,4","",15,"15"
"AD26-005-B_S9_MERGED.fastq.gz","AD26-005-B_S9","AD26-005",9,"B",FALSE,"*9","Chandelier T+15","AD26-005","AD26-005","26/08/2005","115,5","",15,"15"
"AD26-005-H_S10_MERGED.fastq.gz","AD26-005-H_S10","AD26-005",10,"H",FALSE,"*9","Chandelier T+15","AD26-005","AD26-005","26/08/2005","115,5","",15,"15"
"AD26-005-M_S11_MERGED.fastq.gz","AD26-005-M_S11","AD26-005",11,"M",FALSE,"*9","Chandelier T+15","AD26-005","AD26-005","26/08/2005","115,5","",15,"15"
"AD30-ABMX-M_S12_MERGED.fastq.gz","AD30-ABMX-M_S12","AD30-abm-X",12,"M",FALSE,"91","Chablis T+5","AD30-abm-X","AD30-abm-X","14/06/2018","-","",5,"5"
"AD32-007-M_S13_MERGED.fastq.gz","AD32-007-M_S13","AD32-007",13,"M",FALSE,"2","H. Gros bois sur pied","AD32-007","AD32-007","26/07/2006","52","",NA,NA
"ADABM30X-B_S14_MERGED.fastq.gz","ADABM30X-B_S14","AD30-abm-X",14,"B",FALSE,"91","Chablis T+5","AD30-abm-X","AD30-abm-X","14/06/2018","-","",5,"5"
"ADABM30X-H_S15_MERGED.fastq.gz","ADABM30X-H_S15","AD30-abm-X",15,"H",FALSE,"91","Chablis T+5","AD30-abm-X","AD30-abm-X","14/06/2018","-","",5,"5"
"ADABM30X-M_S16_MERGED.fastq.gz","ADABM30X-M_S16","AD30-abm-X",16,"M",FALSE,"91","Chablis T+5","AD30-abm-X","AD30-abm-X","14/06/2018","-","",5,"5"
"AE30-ABM507_S17_MERGED.fastq.gz","AE30-ABM507_S17","AE30-abm507",17,NA,FALSE,"1","Chablis T+5","AE30-abm507","AE30-abm507","14/05/2014","10","",5,"5"
"B17-014_S18_MERGED.fastq.gz","B17-014_S18","BI7-014",18,NA,FALSE,"62","H. Petit bois","BI7-014","BI7-014","22/03/2000","21,5","Présence de Stereum sp.",NA,NA
"B18-006-B_S19_MERGED.fastq.gz","B18-006-B_S19","B18-006",19,"B",FALSE,"78","Chandelier T+10","B18-006","B18-006","09/10/2008","32,5","Ne pas pooler",10,"10"
