"","Domain","Phylum","Class","Order","Family","Genus","Species","Trophic.Mode","Guild","Trait","Confidence.Ranking","Notes","Citation.Source","Genus_species"
"ASV2","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa","spinosa","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Eutypa_spinosa"
"ASV6","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","NA","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Costa IPMW, et al. 2012. Mycotaxon 119:26; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Xylaria_NA"
"ASV7","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","NA","NA","Saprotroph","Wood Saprotroph-Undefined Saprotroph","NULL","Probable","Lignicolous or terrestrial (in leaf litter); typically saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV8","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","ostrea","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_ostrea"
"ASV10","Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV12","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","raduloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Xylodon_raduloides"
"ASV13","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV18","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","ostrea","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_ostrea"
"ASV19","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Scheffersomyces","lignosus","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Scheffersomyces_lignosus"
"ASV22","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","NA","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Costa IPMW, et al. 2012. Mycotaxon 119:26; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Xylaria_NA"
"ASV23","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Daldinia","raimundi","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Daldinia_raimundi"
"ASV24","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Scheffersomyces","stipitis","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Scheffersomyces_stipitis"
"ASV25","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Ossicaulis","lachnopus","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Ossicaulis_lachnopus"
"ASV26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","hirsutum","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_hirsutum"
"ASV27","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Antrodiella","brasiliensis","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo","Antrodiella_brasiliensis"
"ASV28","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","leioplaca","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Pertusaria_leioplaca"
"ASV29","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Basidiodendron","eyrei","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Basidiodendron_eyrei"
"ASV31","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa","NA","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Eutypa_NA"
"ASV32","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","oblongisporum","Saprotroph-Symbiotroph","Ectomycorrhizal-Wood Saprotroph","White Rot","Possible","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/not ECM).; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 pro parte.; http://mycorrhizas.info/ecmf.html (ECM/not ECM).","Sistotrema_oblongisporum"
