X	Sample_names	Tree_name	Sample_id	Height	Diameter	Time
A10-005-B_S188_MERGED.fastq.gz	A10-005-B_S188	A10-005	188	Low	52	15
A10-005-H_S189_MERGED.fastq.gz	A10-005-H_S189	A10-005	189	High	52	15
A10-005-M_S190_MERGED.fastq.gz	A10-005-M_S190	A10-005	190	Middle	52	15
A12-007_S191_MERGED.fastq.gz	A12-007_S191	A12-007	191	NA	28,4	0
A12-007-B_S2_MERGED.fastq.gz	A12-007-B_S2	A12-007	2	Low	28,4	0
A15-004_S3_MERGED.fastq.gz	A15-004_S3	A15-004	3	NA	30,7	0
A8-005_S4_MERGED.fastq.gz	A8-005_S4	A8-005	4	NA	32,8	0
A9-012_S5_MERGED.fastq.gz	A9-012_S5	A9-012	5	NA	33,3	0
AB29-ABMX-H_S6_MERGED.fastq.gz	AB29-ABMX-H_S6	AB29-abm-X	6	High	99	5
AC27-013_S7_MERGED.fastq.gz	AC27-013_S7	AC27-013	7	NA	32	15
AC29033_S8_MERGED.fastq.gz	AC29033_S8	AC29-033	8	NA	55,4	15
AD26-005-B_S9_MERGED.fastq.gz	AD26-005-B_S9	AD26-005	9	Low	115,5	15
AD26-005-H_S10_MERGED.fastq.gz	AD26-005-H_S10	AD26-005	10	High	115,5	15
AD26-005-M_S11_MERGED.fastq.gz	AD26-005-M_S11	AD26-005	11	Middle	115,5	15
AD30-ABMX-M_S12_MERGED.fastq.gz	AD30-ABMX-M_S12	AD30-abm-X	12	Middle	-	5
AD32-007-M_S13_MERGED.fastq.gz	AD32-007-M_S13	AD32-007	13	Middle	52	NA
ADABM30X-B_S14_MERGED.fastq.gz	ADABM30X-B_S14	AD30-abm-X	14	Low	-	5
ADABM30X-H_S15_MERGED.fastq.gz	ADABM30X-H_S15	AD30-abm-X	15	High	-	5
ADABM30X-M_S16_MERGED.fastq.gz	ADABM30X-M_S16	AD30-abm-X	16	Middle	-	5
AE30-ABM507_S17_MERGED.fastq.gz	AE30-ABM507_S17	AE30-abm507	17	NA	10	5
B17-014_S18_MERGED.fastq.gz	B17-014_S18	BI7-014	18	NA	21,5	NA
B18-006-B_S19_MERGED.fastq.gz	B18-006-B_S19	B18-006	19	Low	32,5	10
BA16-036bis_S20_MERGED.fastq.gz	BA16-036bis_S20	BA16-036	20	NA	40,3	15
BA17-050-B_S21_MERGED.fastq.gz	BA17-050-B_S21	BA17-050	21	Low	30	10
BB19-006-H_S22_MERGED.fastq.gz	BB19-006-H_S22	BB19-006	22	High	37,5	15
BB6-019-B_S23_MERGED.fastq.gz	BB6-019-B_S23	BB6-019	23	Low	33,8	5
BB6-019-H_S24_MERGED.fastq.gz	BB6-019-H_S24	BB6-019	24	High	33,8	5
BB6-019-M_S25_MERGED.fastq.gz	BB6-019-M_S25	BB6-019	25	Middle	33,8	5
BD14-021_S26_MERGED.fastq.gz	BD14-021_S26	BD14-021	26	NA	32,4	5
BE9-006-B_S27_MERGED.fastq.gz	BE9-006-B_S27	BE9-006	27	Low	23,1	0
BE9-006-H_S28_MERGED.fastq.gz	BE9-006-H_S28	BE9-006	28	High	23,1	0
BE9-006-M_S29_MERGED.fastq.gz	BE9-006-M_S29	BE9-006	29	Middle	23,1	0
BG7-010-B_S30_MERGED.fastq.gz	BG7-010-B_S30	BG7-010	30	Low	32	0
BG7-010-H_S31_MERGED.fastq.gz	BG7-010-H_S31	BG7-010	31	High	32	0
BG7-010-M_S32_MERGED.fastq.gz	BG7-010-M_S32	BG7-010	32	Middle	32	0
BH9-021_S33_MERGED.fastq.gz	BH9-021_S33	BH9-021	33	NA	44,3	0
BJ17-007-M_S34_MERGED.fastq.gz	BJ17-007-M_S34	BJ17-007	34	Middle	32	5
BJ8-ABM-003_S35_MERGED.fastq.gz	BJ8-ABM-003_S35	BJ8abm003	35	NA	40	15
BL7-006-B_S36_MERGED.fastq.gz	BL7-006-B_S36	BL7-006	36	Low	35,6	0
BL7-006-H_S37_MERGED.fastq.gz	BL7-006-H_S37	BL7-006	37	High	35,6	0
BL7-006-M_S38_MERGED.fastq.gz	BL7-006-M_S38	BL7-006	38	Middle	35,6	0
BN11-041_S39_MERGED.fastq.gz	BN11-041_S39	BN11-041	39	NA	38,3	NA
BN9-002_S40_MERGED.fastq.gz	BN9-002_S40	BN9-002	40	NA	32,5	0
BO8-002_S41_MERGED.fastq.gz	BO8-002_S41	BO8-002	41	NA	26,5	10
BO8-005_S42_MERGED.fastq.gz	BO8-005_S42	BO8-005	42	NA	23	0
BP11-001-B_S43_MERGED.fastq.gz	BP11-001-B_S43	BP11-001	43	Low	47,5	15
BP11-001-H_S44_MERGED.fastq.gz	BP11-001-H_S44	BP11-001	44	High	47,5	15
BP11-001-M_S45_MERGED.fastq.gz	BP11-001-M_S45	BP11-001	45	Middle	47,5	15
BP12-025-B_S46_MERGED.fastq.gz	BP12-025-B_S46	BP12-025	46	Low	64,5	10
BP14-006_S47_MERGED.fastq.gz	BP14-006_S47	BP14-006	47	NA	25,3	10
BQ3-019_S48_MERGED.fastq.gz	BQ3-019_S48	BQ3-019	48	NA	80	15
BQ4-018-B_S49_MERGED.fastq.gz	BQ4-018-B_S49	BQ4-018	49	Low	34	0
BQ4-018-H_S50_MERGED.fastq.gz	BQ4-018-H_S50	BQ4-018	50	High	34	0
BQ4-018-M_S51_MERGED.fastq.gz	BQ4-018-M_S51	BQ4-018	51	Middle	34	0
BQ9ABM-002_S52_MERGED.fastq.gz	BQ9ABM-002_S52	BQ9abm002	52	NA	40	15
BR8-005_S53_MERGED.fastq.gz	BR8-005_S53	BR8-005	53	NA	36,8	0
BS14-006_S54_MERGED.fastq.gz	BS14-006_S54	BS14-006	54	NA	35	15
BT-006-M_S55_MERGED.fastq.gz	BT-006-M_S55	BT7-006	55	Middle	41	0
BT7-006_S56_MERGED.fastq.gz	BT7-006_S56	BT7-006	56	NA	41	0
BV11-002-B_S57_MERGED.fastq.gz	BV11-002-B_S57	BU11-002	57	Low	33	5
BV11-002-H_S58_MERGED.fastq.gz	BV11-002-H_S58	BU11-002	58	High	33	5
BV11-002-M_S59_MERGED.fastq.gz	BV11-002-M_S59	BU11-002	59	Middle	33	5
BW8-003_S60_MERGED.fastq.gz	BW8-003_S60	BW8-003	60	NA	38,2	0
C1-001_S61_MERGED.fastq.gz	C1-001_S61	C1-001	61	NA	43	10
C21-NV1-B_S62_MERGED.fastq.gz	C21-NV1-B_S62	C21-nv-1	62	Low	30	0
C21-NV1-H_S63_MERGED.fastq.gz	C21-NV1-H_S63	C21-nv-1	63	High	30	0
C21-NV1-M_S64_MERGED.fastq.gz	C21-NV1-M_S64	C21-nv-1	64	Middle	30	0
C9-005_S65_MERGED.fastq.gz	C9-005_S65	C9-005	65	NA	39	5
CA12-024_S66_MERGED.fastq.gz	CA12-024_S66	CA12-024	66	NA	18,3	NA
CA9-027_S67_MERGED.fastq.gz	CA9-027_S67	CA9-027	67	NA	23,4	0
CA9-X_S68_MERGED.fastq.gz	CA9-X_S68	CA9-X	68	NA	-	15
CB8-019-B_S69_MERGED.fastq.gz	CB8-019-B_S69	CB8-019	69	Low	33,3	0
CB8-019-H_S70_MERGED.fastq.gz	CB8-019-H_S70	CB8-019	70	High	33,3	0
CB8-019-M_S71_MERGED.fastq.gz	CB8-019-M_S71	CB8-019	71	Middle	33,3	0
CB9-013_S72_MERGED.fastq.gz	CB9-013_S72	CB9-013	72	NA	32,3	5
CC3-044_S73_MERGED.fastq.gz	CC3-044_S73	CC3-044	73	NA	35,7	5
CC8-003_S74_MERGED.fastq.gz	CC8-003_S74	CC8-003	74	NA	36,5	0
D17-011_S77_MERGED.fastq.gz	D17-011_S77	D17-011	77	NA	59,8	5
D18-003-B_S78_MERGED.fastq.gz	D18-003-B_S78	D18-003	78	Low	45,5	5
D18-003-H_S79_MERGED.fastq.gz	D18-003-H_S79	D18-003	79	High	45,5	5
D18-003-M_S80_MERGED.fastq.gz	D18-003-M_S80	D18-003	80	Middle	45,5	5
D22-NVABM1_S81_MERGED.fastq.gz	D22-NVABM1_S81	D22-nvabm-1	81	NA	30	5
D61-010-B_S82_MERGED.fastq.gz	D61-010-B_S82	DG1-010	82	Low	36,3	15
D9-027-B_S83_MERGED.fastq.gz	D9-027-B_S83	D9-027	83	Low	18,9	NA
D9-027-H_S84_MERGED.fastq.gz	D9-027-H_S84	D9-027	84	High	18,9	NA
